testDurationInDays,averageRadonConcentrationInBqPerM3,CMA_Abbotsford ,CMA_Barrie ,CMA_Brantford ,CMA_Calgary ,CMA_Edmonton ,CMA_Greater Sudbury ,CMA_Guelph ,CMA_Halifax ,CMA_Hamilton ,CMA_Kelowna ,CMA_Kingston ,CMA_Kitchener ,CMA_London ,CMA_Moncton ,CMA_Montréal ,CMA_Oshawa ,CMA_Ottawa - Gatineau ,CMA_Peterborough ,CMA_Québec ,CMA_Regina ,CMA_Saguenay ,CMA_Saint John ,CMA_Saskatoon ,CMA_Sherbrooke ,CMA_St. Catharines - Niagara,CMA_St. John's ,CMA_Thunder Bay ,CMA_Toronto ,CMA_Trois-Rivières ,CMA_Vancouver ,CMA_Victoria ,CMA_Windsor ,CMA_Winnipeg ,PROV_AB,PROV_BC,PROV_MB,PROV_NB,PROV_NL,PROV_NS,PROV_ON,PROV_QC,PROV_SK,FSAC_*,FSAC_A1A,FSAC_A1B,FSAC_A1C,FSAC_A1E,FSAC_A1G,FSAC_A1H,FSAC_A1N,FSAC_B2V,FSAC_B2W,FSAC_B2X,FSAC_B2Y,FSAC_B2Z,FSAC_B3A,FSAC_B3H,FSAC_B3K,FSAC_B3L,FSAC_B3M,FSAC_B3N,FSAC_B3P,FSAC_B3R,FSAC_B3S,FSAC_B3T,FSAC_B3V,FSAC_B3Z,FSAC_E1A,FSAC_E1B,FSAC_E1C,FSAC_E1E,FSAC_E1G,FSAC_E1H,FSAC_E1J,FSAC_E2H,FSAC_E2J,FSAC_E2K,FSAC_E2L,FSAC_E2M,FSAC_E2N,FSAC_E2P,FSAC_E2S,FSAC_E5J,FSAC_E5K,FSAC_E5L,FSAC_E5M,FSAC_E5S,FSAC_G1B,FSAC_G1C,FSAC_G1E,FSAC_G1G,FSAC_G1H,FSAC_G1J,FSAC_G1K,FSAC_G1L,FSAC_G1M,FSAC_G1P,FSAC_G1S,FSAC_G1T,FSAC_G1V,FSAC_G1W,FSAC_G1X,FSAC_G1Y,FSAC_G2A,FSAC_G2B,FSAC_G2C,FSAC_G2E,FSAC_G2G,FSAC_G2K,FSAC_G2L,FSAC_G3E,FSAC_G3G,FSAC_G3J,FSAC_G3K,FSAC_G7B,FSAC_G7G,FSAC_G7H,FSAC_G7J,FSAC_G7K,FSAC_G7N,FSAC_G7P,FSAC_G7S,FSAC_G7X,FSAC_G7Y,FSAC_G7Z,FSAC_G8A,FSAC_G8J,FSAC_G8T,FSAC_G8V,FSAC_G8W,FSAC_G8Y,FSAC_G8Z,FSAC_G9A,FSAC_G9B,FSAC_G9C,FSAC_H1C,FSAC_H1E,FSAC_H1V,FSAC_J1C,FSAC_J1E,FSAC_J1G,FSAC_J1H,FSAC_J1J,FSAC_J1K,FSAC_J1L,FSAC_J1M,FSAC_J1N,FSAC_J1R,FSAC_J8L,FSAC_J8M,FSAC_J8P,FSAC_J8T,FSAC_J8V,FSAC_J8Y,FSAC_J8Z,FSAC_J9A,FSAC_J9H,FSAC_J9J,FSAC_K1B,FSAC_K1C,FSAC_K1G,FSAC_K1H,FSAC_K1J,FSAC_K1K,FSAC_K1L,FSAC_K1M,FSAC_K1N,FSAC_K1S,FSAC_K1T,FSAC_K1V,FSAC_K1Y,FSAC_K1Z,FSAC_K2A,FSAC_K2B,FSAC_K2E,FSAC_K2G,FSAC_K2H,FSAC_K2J,FSAC_K2K,FSAC_K2L,FSAC_K2M,FSAC_K2P,FSAC_K2S,FSAC_K2T,FSAC_K2W,FSAC_K4A,FSAC_K4K,FSAC_K4R,FSAC_K7K,FSAC_K7L,FSAC_K7M,FSAC_K7N,FSAC_K7P,FSAC_K9H,FSAC_K9J,FSAC_K9K,FSAC_K9L,FSAC_L1G,FSAC_L1H,FSAC_L1J,FSAC_L1K,FSAC_L1L,FSAC_L1N,FSAC_L1P,FSAC_L1R,FSAC_L2M,FSAC_L2N,FSAC_L2P,FSAC_L2R,FSAC_L2S,FSAC_L2T,FSAC_L2V,FSAC_L2W,FSAC_L3P,FSAC_L4M,FSAC_L4N,FSAC_L5L,FSAC_L6A,FSAC_L6H,FSAC_L6M,FSAC_L6Y,FSAC_L8E,FSAC_L8G,FSAC_L8H,FSAC_L8J,FSAC_L8K,FSAC_L8L,FSAC_L8M,FSAC_L8N,FSAC_L8P,FSAC_L8R,FSAC_L8S,FSAC_L8T,FSAC_L8V,FSAC_L8W,FSAC_L9A,FSAC_L9B,FSAC_L9C,FSAC_L9G,FSAC_L9H,FSAC_L9K,FSAC_L9T,FSAC_M4J,FSAC_M4K,FSAC_M6E,FSAC_M6N,FSAC_M6P,FSAC_N1C,FSAC_N1E,FSAC_N1G,FSAC_N1H,FSAC_N1K,FSAC_N1L,FSAC_N2A,FSAC_N2B,FSAC_N2C,FSAC_N2E,FSAC_N2G,FSAC_N2H,FSAC_N2J,FSAC_N2K,FSAC_N2L,FSAC_N2M,FSAC_N2N,FSAC_N2P,FSAC_N2R,FSAC_N2T,FSAC_N2V,FSAC_N3L,FSAC_N3P,FSAC_N3R,FSAC_N3S,FSAC_N3T,FSAC_N5V,FSAC_N5W,FSAC_N5X,FSAC_N5Y,FSAC_N5Z,FSAC_N6A,FSAC_N6B,FSAC_N6C,FSAC_N6E,FSAC_N6G,FSAC_N6H,FSAC_N6J,FSAC_N6K,FSAC_N6P,FSAC_N8N,FSAC_N8P,FSAC_N8R,FSAC_N8S,FSAC_N8T,FSAC_N8W,FSAC_N8X,FSAC_N8Y,FSAC_N9A,FSAC_N9B,FSAC_N9C,FSAC_N9E,FSAC_N9G,FSAC_N9H,FSAC_N9J,FSAC_P3A,FSAC_P3B,FSAC_P3C,FSAC_P3E,FSAC_P3G,FSAC_P7A,FSAC_P7B,FSAC_P7C,FSAC_P7E,FSAC_P7G,FSAC_P7J,FSAC_P7K,FSAC_P7L,FSAC_R2C,FSAC_R2E,FSAC_R2G,FSAC_R2H,FSAC_R2J,FSAC_R2K,FSAC_R2L,FSAC_R2M,FSAC_R2N,FSAC_R2P,FSAC_R2R,FSAC_R2V,FSAC_R2W,FSAC_R2X,FSAC_R3B,FSAC_R3E,FSAC_R3G,FSAC_R3J,FSAC_R3K,FSAC_R3L,FSAC_R3M,FSAC_R3N,FSAC_R3P,FSAC_R3R,FSAC_R3T,FSAC_R3V,FSAC_R3W,FSAC_R3X,FSAC_R3Y,FSAC_S4L,FSAC_S4N,FSAC_S4P,FSAC_S4R,FSAC_S4S,FSAC_S4T,FSAC_S4V,FSAC_S4W,FSAC_S4X,FSAC_S4Y,FSAC_S7H,FSAC_S7J,FSAC_S7K,FSAC_S7L,FSAC_S7M,FSAC_S7N,FSAC_S7R,FSAC_S7S,FSAC_S7T,FSAC_S7V,FSAC_S7W,FSAC_T1Y,FSAC_T2A,FSAC_T2B,FSAC_T2C,FSAC_T2E,FSAC_T2H,FSAC_T2J,FSAC_T2K,FSAC_T2L,FSAC_T2T,FSAC_T2V,FSAC_T2W,FSAC_T2X,FSAC_T2Z,FSAC_T3A,FSAC_T3B,FSAC_T3C,FSAC_T3E,FSAC_T3G,FSAC_T3H,FSAC_T3J,FSAC_T3K,FSAC_T3L,FSAC_T3M,FSAC_T3P,FSAC_T3R,FSAC_T3Z,FSAC_T5A,FSAC_T5C,FSAC_T5E,FSAC_T5G,FSAC_T5H,FSAC_T5K,FSAC_T5L,FSAC_T5M,FSAC_T5N,FSAC_T5R,FSAC_T5T,FSAC_T5X,FSAC_T5Y,FSAC_T5Z,FSAC_T6A,FSAC_T6B,FSAC_T6C,FSAC_T6E,FSAC_T6H,FSAC_T6J,FSAC_T6K,FSAC_T6L,FSAC_T6M,FSAC_T6P,FSAC_T6R,FSAC_T6T,FSAC_T6V,FSAC_T6W,FSAC_T6X,FSAC_V1P,FSAC_V1V,FSAC_V1W,FSAC_V1X,FSAC_V1Y,FSAC_V1Z,FSAC_V2S,FSAC_V2T,FSAC_V2W,FSAC_V3A,FSAC_V3G,FSAC_V3J,FSAC_V3L,FSAC_V3N,FSAC_V3W,FSAC_V4A,FSAC_V4C,FSAC_V4K,FSAC_V4M,FSAC_V4R,FSAC_V4T,FSAC_V4X,FSAC_V5A,FSAC_V5B,FSAC_V5H,FSAC_V5J,FSAC_V6K,FSAC_V6Y,FSAC_V7E,FSAC_V7J,FSAC_V7L,FSAC_V7N,FSAC_V7V,FSAC_V8N,FSAC_V8P,FSAC_V8R,FSAC_V8S,FSAC_V8T,FSAC_V8V,FSAC_V8X,FSAC_V8Y,FSAC_V8Z,FSAC_V9A,FSAC_V9B,FSAC_V9C,FSAC_V9E,FSAC_V9Z
90,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
